,Country,Number,Month
590,          Mèxic  ,2692.0,December
591,          Resta d'Amèrica   ,11218.0,December
592,          Sudàfrica  ,856.0,December
593,          Resta d'Àfrica  ,10521.0,December
594,          Japó  ,11539.0,December
595,          Xina  ,9833.0,December
596,          Corea Del Sud  ,3746.0,December
597,          Resta d'Àsia  ,20534.0,December
598,          Austràlia  ,3199.0,December
599,          Resta del món  ,20482.0,December
